slug,name,abbreviation,aliases,description,address,lat,lng,mon,tue,wed,thu,fri,sat,sun,image_url,source,location_verified_by
asp-avenue-parking-facility,Asp Avenue Parking Facility,,Asp garage;Asp Avenue garage,Parking garage.,,35.205714,-97.443774,,,,,,,,,osm,
elm-avenue-parking-facility,Elm Avenue Parking Facility,,Elm garage;Elm Avenue garage,Parking garage.,594-614 Elm Avenue,35.209541,-97.448414,,,,,,,,,osm,
jenkins-parking-garage,Jenkins Parking Garage,,Jenkins garage,Parking garage.,1332 Jenkins Avenue,35.201959,-97.441904,,,,,,,,,osm,
timberdell-parking-garage,Timberdell Parking Garage,,Timberdell garage,Parking garage.,,35.197236,-97.442200,,,,,,,,,osm,
union-parking-center,Oklahoma Memorial Union Parking Center,,Union garage;Union parking,Parking garage.,,35.210047,-97.444348,,,,,,,,,osm,
cate-center-1,Cate Center 1,CCD1,Cate 1,,Cate Center Drive,35.203510,-97.445116,,,,,,,,,osm,
cate-center-2,Cate Center 2,CCD2,Cate 2,,Cate Center Drive,35.203514,-97.446295,,,,,,,,,osm,
cate-center-4,Cate Center 4,CCD4,Cate 4,,Cate Center Drive,35.202617,-97.446292,,,,,,,,,osm,
david-l-boren-hall,David L. Boren Hall,,Boren Hall;Boren;Honors College,Residence hall and home of the Honors College.,1300 Asp Avenue,35.203146,-97.444868,,,,,,,,,osm,
dunham-college,Dunham College,,Dunham,Residential college.,250 West Lindsey Street,35.203337,-97.443337,,,,,,,,,osm,
headington-college,Headington College,,,Residential college.,200 West Lindsey Street,35.203314,-97.442308,,,,,,,,,osm,
headington-hall,Headington Hall,,,Residence hall.,,35.203148,-97.440739,,,,,,,,,osm,
couch-restaurants,Couch Restaurants,,Couch Center;Couch Cafeteria;the caf;Couch dining,Main campus dining hall.,,35.200341,-97.445704,,,,,,,,,osm,
couch-tower,Couch Tower,,Couch,Residence hall.,,35.200343,-97.444907,,,,,,,,,osm,
walker-tower,Walker Tower,,Walker Center;Walker,Residence hall.,,35.201603,-97.444892,,,,,,,,,osm,
sj-sarkeys-complex,S.J. Sarkeys Complex,,Sarkeys Complex,,,35.201631,-97.443823,,,,,,,,,osm,
sarkeys-fitness-center,Sarkeys Fitness Center,,gym;rec center;fitness center,Campus recreation and fitness center.,1401 Asp Avenue,35.201445,-97.442954,,,,,,,,,osm,
ou-food-pantry,University of Oklahoma Food Pantry,,food pantry,Food pantry for students.,331 Cate Center Drive,35.203082,-97.446266,,,,,,,,,osm,
jim-thorpe-multicultural-center,Jim Thorpe Multicultural Center,,Thorpe Center,,,35.198763,-97.445949,,,,,,,,,osm,
mccarter-hall,McCarter Hall of Advanced Studies,,McCarter Hall,,1610 South Asp Avenue,35.198832,-97.444909,,,,,,,,,osm,
boomer-outreach-building,Boomer Outreach Building,,,,,35.197374,-97.445964,,,,,,,,,osm,
thurman-j-white-forum,Thurman J. White Forum,,OCCE Forum;OCCCE Forum;Forum Building,,1704 South Asp Avenue,35.198056,-97.445603,,,,,,,,,osm,
coats-hall,Andrew M. Coats Hall,,Coats Hall;College of Law;Law Center;law school;Law Library,College of Law and Law Library.,300 West Timberdell Road,35.195970,-97.446797,,,,,,,,,osm,
ou-foundation,University of Oklahoma Foundation,,OU Foundation,,,35.195889,-97.444842,,,,,,,,,osm,
sam-noble-museum,Sam Noble Oklahoma Museum of Natural History,,Sam Noble Museum;natural history museum,Natural history museum.,2401 Chautauqua Avenue,35.194413,-97.449026,,,,,,,,,osm,
traditions-square-east,Traditions Square East,,Traditions East,Campus apartments.,,35.192960,-97.446237,,,,,,,,,osm,
traditions-square-west-clubhouse,Traditions Square West Clubhouse,,Traditions West,Campus apartments clubhouse.,2730 Chautauqua Avenue,35.190132,-97.450975,,,,,,,,,osm,
lloyd-noble-center,Lloyd Noble Center,LNC,arena,Arena and event venue.,2900 Jenkins Avenue,35.187032,-97.444274,,,,,,,,,osm,
headington-family-tennis-center,Headington Family Tennis Center,,tennis center,,,35.187360,-97.448718,,,,,,,,,osm,
sam-viersen-gymnastics-center,Sam Viersen Gymnastics Practice Facility,,gymnastics,,,35.190300,-97.443845,,,,,,,,,osm,
ou-police-department,University of Oklahoma Police Department,,OUPD;campus police,Campus police.,,35.189834,-97.435037,,,,,,,,,osm,
national-weather-center,National Weather Center,NWC,weather center,Home of the School of Meteorology and NOAA weather research offices.,120 David L Boren Boulevard,35.181566,-97.439860,,,,,,,,,osm,
stephenson-research-technology-center,Stephenson Research & Technology Center,SRTC,,,101 David L Boren Boulevard,35.183691,-97.440365,,,,,,,,,osm,
stephenson-life-sciences-research-center,Stephenson Life Sciences Research Center,SLSRC,,,,35.185879,-97.440431,,,,,,,,,osm,
one-partners-place,One Partners Place,,,,,35.182518,-97.437078,,,,,,,,,osm,
two-partners-place,Two Partners Place,,,,3100 Monitor Avenue,35.182803,-97.436059,,,,,,,,,osm,
tom-love-innovation-hub,Tom Love Innovation Hub,,Innovation Hub;Three Partners Place,Entrepreneurship and maker space.,201 David L Boren Boulevard,35.183716,-97.438134,,,,,,,,,osm,
four-partners-place,Four Partners Place,,,,301 David L Boren Boulevard,35.183706,-97.437115,,,,,,,,,osm,
five-partners-place,Five Partners Place,,,,,35.185740,-97.439065,,,,,,,,,osm,
radar-innovations-laboratory,Radar Innovations Laboratory,,RIL,,3190 Monitor Avenue,35.181237,-97.436864,,,,,,,,,osm,
